wavelength,2500K,3000K
6.00000000 ,0.00004871 ,0.00001902 
6.06000000 ,0.00005224 ,0.00002040 
6.12060000 ,0.00004739 ,0.00001851 
6.18180600 ,0.00004816 ,0.00001881 
6.24362406 ,0.00003889 ,0.00001518 
6.30606030 ,0.00003660 ,0.00001431 
6.36912090 ,0.00004776 ,0.00001866 
6.43281211 ,0.00005485 ,0.00002143 
6.49714023 ,0.00005443 ,0.00002128 
6.56211164 ,0.00005317 ,0.00002077 
6.62773275 ,0.00005441 ,0.00002126 
6.69401008 ,0.00004650 ,0.00001817 
6.76095018 ,0.00004101 ,0.00001603 
6.82855968 ,0.00004418 ,0.00001723 
6.89684528 ,0.00004613 ,0.00001803 
6.96581373 ,0.00003764 ,0.00001470 
7.03547187 ,0.00004133 ,0.00001615 
7.10582659 ,0.00003352 ,0.00001309 
7.17688485 ,0.00003739 ,0.00001461 
7.24865370 ,0.00003495 ,0.00001365 
7.32114024 ,0.00003930 ,0.00001535 
7.39435164 ,0.00004289 ,0.00001676 
7.46829516 ,0.00004609 ,0.00001800 
7.54297811 ,0.00004237 ,0.00001656 
7.61840789 ,0.00004190 ,0.00001637 
7.69459197 ,0.00006154 ,0.00002404 
7.77153789 ,0.00005201 ,0.00002032 
7.84925327 ,0.00005243 ,0.00002048 
7.92774580 ,0.00004919 ,0.00001922 
8.00702326 ,0.00004006 ,0.00001564 
8.08709349 ,0.00003071 ,0.00001200 
8.16796443 ,0.00002620 ,0.00001024 
8.24964407 ,0.00002330 ,0.00000910 
8.33214051 ,0.00001978 ,0.00000774 
8.41546192 ,0.00002469 ,0.00000966 
8.49961654 ,0.00002950 ,0.00001152 
8.58461270 ,0.00002874 ,0.00001123 
8.67045883 ,0.00003212 ,0.00001254 
8.75716342 ,0.00003255 ,0.00001270 
8.84473505 ,0.00003471 ,0.00001356 
8.93318240 ,0.00003561 ,0.00001391 
9.02251423 ,0.00003249 ,0.00001270 
9.11273937 ,0.00003229 ,0.00001262 
9.20386676 ,0.00003935 ,0.00001537 
9.29590543 ,0.00004141 ,0.00001617 
9.38886448 ,0.00007157 ,0.00002795 
9.48275313 ,0.00010783 ,0.00004214 
9.57758066 ,0.00009723 ,0.00003796 
9.67335647 ,0.00010879 ,0.00004248 
9.77009003 ,0.00010221 ,0.00003992 
9.86779093 ,0.00009766 ,0.00003815 
9.96646884 ,0.00008546 ,0.00003337 
10.06613353 ,0.00006393 ,0.00002499 
10.16679486 ,0.00003831 ,0.00001496 
10.26846281 ,0.00002405 ,0.00000942 
10.37114744 ,0.00001328 ,0.00000520 
10.47485892 ,0.00001068 ,0.00000415 
10.57960750 ,0.00001226 ,0.00000479 
10.68540358 ,0.00000904 ,0.00000353 
10.79225762 ,0.00000767 ,0.00000301 
10.90018019 ,0.00000646 ,0.00000252 
11.00918199 ,0.00000773 ,0.00000302 
11.11927381 ,0.00000301 ,0.00000117 
11.23046655 ,0.00000514 ,0.00000200 
11.34277122 ,0.00000876 ,0.00000342 
11.45619893 ,0.00000678 ,0.00000264 
11.57076092 ,0.00000487 ,0.00000190 
11.68646853 ,0.00000690 ,0.00000269 
11.80333321 ,0.00000924 ,0.00000360 
11.92136654 ,0.00000716 ,0.00000280 
12.04058021 ,0.00000557 ,0.00000218 
12.16098601 ,0.00000927 ,0.00000363 
12.28259587 ,0.00001151 ,0.00000451 
12.40542183 ,0.00001556 ,0.00000606 
12.52947605 ,0.00002151 ,0.00000841 
12.65477081 ,0.00002538 ,0.00000992 
12.78131852 ,0.00002292 ,0.00000893 
12.90913170 ,0.00002667 ,0.00001041 
13.03822302 ,0.00003250 ,0.00001269 
13.16860525 ,0.00003851 ,0.00001504 
13.30029130 ,0.00004806 ,0.00001877 
13.43329422 ,0.00005636 ,0.00002201 
13.56762716 ,0.00006890 ,0.00002693 
13.70330343 ,0.00006755 ,0.00002638 
13.84033646 ,0.00007691 ,0.00003003 
13.97873983 ,0.00007838 ,0.00003060 
14.11852723 ,0.00007948 ,0.00003106 
14.25971250 ,0.00008764 ,0.00003426 
14.40230962 ,0.00009748 ,0.00003805 
14.54633272 ,0.00010448 ,0.00004080 
14.69179605 ,0.00010942 ,0.00004275 
14.83871401 ,0.00011295 ,0.00004412 
14.98710115 ,0.00013337 ,0.00005208 
15.13697216 ,0.00011529 ,0.00004503 
15.28834188 ,0.00010898 ,0.00004258 
15.44122530 ,0.00011371 ,0.00004442 
15.59563755 ,0.00010167 ,0.00003971 
15.75159393 ,0.00009368 ,0.00003659 
15.90910987 ,0.00008461 ,0.00003305 
16.06820097 ,0.00007311 ,0.00002856 
16.22888298 ,0.00008394 ,0.00003279 
16.39117181 ,0.00006423 ,0.00002509 
16.55508352 ,0.00006412 ,0.00002505 
16.72063436 ,0.00006232 ,0.00002433 
16.88784070 ,0.00005480 ,0.00002140 
17.05671911 ,0.00005168 ,0.00002018 
17.22728630 ,0.00004283 ,0.00001673 
17.39955916 ,0.00003654 ,0.00001427 
17.57355476 ,0.00003420 ,0.00001336 
17.74929030 ,0.00003121 ,0.00001220 
17.92678321 ,0.00002364 ,0.00000924 
18.10605104 ,0.00002518 ,0.00000984 
18.28711155 ,0.00002973 ,0.00001162 
18.46998266 ,0.00002820 ,0.00001101 
18.65468249 ,0.00002512 ,0.00000980 
18.84122932 ,0.00002110 ,0.00000825 
19.02964161 ,0.00002826 ,0.00001103 
19.21993803 ,0.00002618 ,0.00001022 
19.41213741 ,0.00002912 ,0.00001137 
19.60625878 ,0.00002457 ,0.00000959 
19.80232137 ,0.00002982 ,0.00001165 
20.00034458 ,0.00002803 ,0.00001097 
20.20034803 ,0.00002130 ,0.00000832 
20.40235151 ,0.00002628 ,0.00001026 
20.60637502 ,0.00002875 ,0.00001125 
20.81243877 ,0.00002572 ,0.00001003 
21.02056316 ,0.00002402 ,0.00000940 
21.23076879 ,0.00003457 ,0.00001351 
21.44307648 ,0.00002690 ,0.00001052 
21.65750724 ,0.00002533 ,0.00000988 
21.87408232 ,0.00003671 ,0.00001433 
22.09282314 ,0.00002876 ,0.00001125 
22.31375137 ,0.00002502 ,0.00000978 
22.53688889 ,0.00002962 ,0.00001155 
22.76225777 ,0.00002957 ,0.00001153 
22.98988035 ,0.00002677 ,0.00001045 
23.21977916 ,0.00002866 ,0.00001120 
23.45197695 ,0.00002855 ,0.00001115 
23.68649672 ,0.00002997 ,0.00001170 
23.92336168 ,0.00004308 ,0.00001683 
24.16259530 ,0.00002675 ,0.00001044 
24.40422125 ,0.00002119 ,0.00000827 
24.64826347 ,0.00002202 ,0.00000860 
24.89474610 ,0.00002270 ,0.00000886 